,Post Office,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Bandra (West),19.0583358,72.8302669,D'Monte Park Recreation Centre,19.059629587422016,72.82599507232585,Event Space
1,Bangur Nagar,19.1688142,72.8336777,Jogger's park,19.164700638861195,72.83515337228556,Park
2,Colaba,18.915091,72.8259691,Harish Mahindra Children's Park,18.91486679408915,72.82368836509063,Park
3,Cumballa Hill,18.9693073,72.8065375,"Amarsons Park, Breach Candy",18.972316882196097,72.80632673666895,Park
4,Dadar,19.02376705,72.8394033818551,Shivaji Park,19.026621409220052,72.84103268261613,Playground
5,Ghatkopar (West),19.0897194,72.9045972,"Joggers park,L B S marg. Ghatkopar west",19.08758170440374,72.9019766034836,Park
6,Goregaon (West),19.1633281,72.8411995,Guru Nanak Park,19.159896850585938,72.8392562866211,Park
7,Juhu,19.1070215,72.8275275,Pushpa Narsee Park,19.1045463792865,72.83091824867196,Park
8,Kharodi,19.191684,72.8140978,Kalpana Park,19.19649124145508,72.81488800048828,Park
9,Malabar Hill,18.9581616,72.8033665,Priyadarshini Park,18.95751519120163,72.79961414024795,Park
10,Motilal Nagar,19.1589951,72.84019707773174,Guru Nanak Park,19.159896850585938,72.8392562866211,Park
11,Pant Nagar,19.0868209,72.9156026,Arun Vaidya Park,19.085515133811246,72.9127986123161,Garden
12,Parel,19.0094817,72.8376614,Pramod Mahajan Kala Park,19.01331901550293,72.83770751953125,Park
13,Rajawadi,19.07853645,72.90019463836587,joggers park,19.07736352417636,72.90329176752041,Park
14,Shivaji Nagar (Kurla),19.0542928,72.87029773141101,Reliance Guest House Park,19.05514590549973,72.87136816736859,Park
15,Belapur,19.0088205,73.028701,Belapur Park,19.009261572453955,73.03382018700036,Park
16,Turbhe,19.0761648,73.01766154369602,Cidco Nature Park,19.076810433201356,73.01267297519074,Park
17,Vashi,19.075784,72.9952364,green park,19.076265335083008,72.9910659790039,Park
18,Bhayandar,19.1971521,72.8113662,Kalpana Park,19.19649124145508,72.81488800048828,Park
19,Boisar,19.2091438,72.8591832,Joggers Park (Thakur Zagadu Singh Charitable trust),19.210427453563454,72.86364555358887,Park
20,Vesava (Versova),19.133736885842254,72.81487679863184,Park,19.137666,72.815483,Park
21,Bandra (West),19.0583358,72.8302669,D'Monte Park Recreation Centre,19.059629587422016,72.82599507232585,Event Space
22,Bangur Nagar,19.1688142,72.8336777,Jogger's park,19.164700638861195,72.83515337228556,Park
23,Colaba,18.915091,72.8259691,Harish Mahindra Children's Park,18.91486679408915,72.82368836509063,Park
24,Cumballa Hill,18.9693073,72.8065375,"Amarsons Park, Breach Candy",18.972316882196097,72.80632673666895,Park
25,Dadar,19.02376705,72.8394033818551,Shivaji Park,19.026621409220052,72.84103268261613,Playground
26,Ghatkopar (West),19.0897194,72.9045972,"Joggers park,L B S marg. Ghatkopar west",19.08758170440374,72.9019766034836,Park
27,Goregaon (West),19.1633281,72.8411995,Guru Nanak Park,19.159896850585938,72.8392562866211,Park
28,Juhu,19.1070215,72.8275275,Pushpa Narsee Park,19.1045463792865,72.83091824867196,Park
29,Kharodi,19.191684,72.8140978,Kalpana Park,19.19649124145508,72.81488800048828,Park
30,Malabar Hill,18.9581616,72.8033665,Priyadarshini Park,18.95751519120163,72.79961414024795,Park
31,Motilal Nagar,19.1589951,72.84019707773174,Guru Nanak Park,19.159896850585938,72.8392562866211,Park
32,Pant Nagar,19.0868209,72.9156026,Arun Vaidya Park,19.085515133811246,72.9127986123161,Garden
33,Parel,19.0094817,72.8376614,Pramod Mahajan Kala Park,19.01331901550293,72.83770751953125,Park
34,Rajawadi,19.07853645,72.90019463836587,joggers park,19.07736352417636,72.90329176752041,Park
35,Shivaji Nagar (Kurla),19.0542928,72.87029773141101,Reliance Guest House Park,19.05514590549973,72.87136816736859,Park
36,Belapur,19.0088205,73.028701,Belapur Park,19.009261572453955,73.03382018700036,Park
37,Turbhe,19.0761648,73.01766154369602,Cidco Nature Park,19.076810433201356,73.01267297519074,Park
38,Vashi,19.075784,72.9952364,green park,19.076265335083008,72.9910659790039,Park
39,Bhayandar,19.1971521,72.8113662,Kalpana Park,19.19649124145508,72.81488800048828,Park
40,Boisar,19.2091438,72.8591832,Joggers Park (Thakur Zagadu Singh Charitable trust),19.210427453563454,72.86364555358887,Park
41,Vesava (Versova),19.133736885842254,72.81487679863184,Park,19.137666,72.815483,Park
